"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2007-02-01,"Housing starts | Total units",90,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-03-01,"Housing starts | Total units",96,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-04-01,"Housing starts | Total units",275,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-05-01,"Housing starts | Total units",255,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-06-01,"Housing starts | Total units",356,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-07-01,"Housing starts | Total units",292,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-08-01,"Housing starts | Total units",139,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-09-01,"Housing starts | Total units",244,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-10-01,"Housing starts | Total units",189,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-11-01,"Housing starts | Total units",160,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-12-01,"Housing starts | Total units",151,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-01-01,"Housing starts | Total units",201,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-02-01,"Housing starts | Total units",175,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-03-01,"Housing starts | Total units",214,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-04-01,"Housing starts | Total units",207,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-05-01,"Housing starts | Total units",310,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-06-01,"Housing starts | Total units",467,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-07-01,"Housing starts | Total units",215,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-08-01,"Housing starts | Total units",136,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-09-01,"Housing starts | Total units",170,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-10-01,"Housing starts | Total units",87,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-11-01,"Housing starts | Total units",82,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-12-01,"Housing starts | Total units",55,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-01-01,"Housing starts | Total units",33,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-02-01,"Housing starts | Total units",24,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-03-01,"Housing starts | Total units",32,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-04-01,"Housing starts | Total units",25,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-05-01,"Housing starts | Total units",99,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-06-01,"Housing starts | Total units",129,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-07-01,"Housing starts | Total units",163,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-08-01,"Housing starts | Total units",143,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-09-01,"Housing starts | Total units",132,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-10-01,"Housing starts | Total units",164,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-11-01,"Housing starts | Total units",361,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2009-12-01,"Housing starts | Total units",123,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-01-01,"Housing starts | Total units",161,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-02-01,"Housing starts | Total units",127,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-03-01,"Housing starts | Total units",77,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-04-01,"Housing starts | Total units",177,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-05-01,"Housing starts | Total units",205,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-06-01,"Housing starts | Total units",242,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-07-01,"Housing starts | Total units",210,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-08-01,"Housing starts | Total units",365,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-09-01,"Housing starts | Total units",191,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-10-01,"Housing starts | Total units",171,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-11-01,"Housing starts | Total units",256,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2010-12-01,"Housing starts | Total units",199,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-01-01,"Housing starts | Total units",120,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-02-01,"Housing starts | Total units",340,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-03-01,"Housing starts | Total units",188,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-04-01,"Housing starts | Total units",252,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-05-01,"Housing starts | Total units",226,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-06-01,"Housing starts | Total units",370,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-07-01,"Housing starts | Total units",203,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-08-01,"Housing starts | Total units",275,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-09-01,"Housing starts | Total units",257,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-10-01,"Housing starts | Total units",296,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-11-01,"Housing starts | Total units",315,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2011-12-01,"Housing starts | Total units",152,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-01-01,"Housing starts | Total units",177,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-02-01,"Housing starts | Total units",297,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-03-01,"Housing starts | Total units",154,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-04-01,"Housing starts | Total units",245,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-05-01,"Housing starts | Total units",228,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-06-01,"Housing starts | Total units",454,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-07-01,"Housing starts | Total units",212,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-08-01,"Housing starts | Total units",338,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-09-01,"Housing starts | Total units",485,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-10-01,"Housing starts | Total units",427,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-11-01,"Housing starts | Total units",516,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2012-12-01,"Housing starts | Total units",220,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-01-01,"Housing starts | Total units",170,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-02-01,"Housing starts | Total units",101,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-03-01,"Housing starts | Total units",194,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-04-01,"Housing starts | Total units",167,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-05-01,"Housing starts | Total units",194,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-06-01,"Housing starts | Total units",268,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-07-01,"Housing starts | Total units",371,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-08-01,"Housing starts | Total units",288,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-09-01,"Housing starts | Total units",614,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-10-01,"Housing starts | Total units",239,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-11-01,"Housing starts | Total units",195,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2013-12-01,"Housing starts | Total units",179,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-01-01,"Housing starts | Total units",376,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-02-01,"Housing starts | Total units",152,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-03-01,"Housing starts | Total units",72,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-04-01,"Housing starts | Total units",561,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-05-01,"Housing starts | Total units",272,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-06-01,"Housing starts | Total units",326,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-07-01,"Housing starts | Total units",193,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-08-01,"Housing starts | Total units",434,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-09-01,"Housing starts | Total units",285,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-10-01,"Housing starts | Total units",268,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-11-01,"Housing starts | Total units",390,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2014-12-01,"Housing starts | Total units",202,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-01-01,"Housing starts | Total units",155,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-02-01,"Housing starts | Total units",247,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-03-01,"Housing starts | Total units",177,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-04-01,"Housing starts | Total units",116,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-05-01,"Housing starts | Total units",253,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-06-01,"Housing starts | Total units",216,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-07-01,"Housing starts | Total units",175,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-08-01,"Housing starts | Total units",148,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-09-01,"Housing starts | Total units",168,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-10-01,"Housing starts | Total units",146,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-11-01,"Housing starts | Total units",295,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2015-12-01,"Housing starts | Total units",197,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-01-01,"Housing starts | Total units",140,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-02-01,"Housing starts | Total units",133,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-03-01,"Housing starts | Total units",93,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-04-01,"Housing starts | Total units",238,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-05-01,"Housing starts | Total units",126,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-06-01,"Housing starts | Total units",182,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-07-01,"Housing starts | Total units",187,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-08-01,"Housing starts | Total units",194,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-09-01,"Housing starts | Total units",208,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2016-10-01,"Housing starts | Total units",142,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
